id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
2927,Earthworm Jim,1994-10,7.74,https://www.mobygames.com/game/2927/earthworm-jim/,"DOS, Game Boy, Game Boy Advance, SNES, Genesis, Game Gear, SEGA Master System, Wii, Windows, Linux, Browser, Macintosh, Antstream","Action, Side view, Platform, Shooter, Comedy, 2D scrolling","Shiny Entertainment, Inc.","Playmates Interactive Entertainment, Inc., Majesco Sales, Inc., Interplay Productions, Inc., Interplay Entertainment Corp., Activision, Inc., THQ Inc., TAKARA Co., Ltd., Tec Toy Indústria de Brinquedos S.A."
10058,Final Fight 3,1995-12-22,7.18,https://www.mobygames.com/game/10058/final-fight-3/,"SNES, Wii, Wii U","Action, Side view, Anime / Manga, Beat 'em up / brawler, 2D scrolling","Capcom Co., Ltd.","Laguna Videospiele Vertriebs & Marketing GmbH, Capcom Co., Ltd."
6632,Pilotwings,1990-12-21,7.78,https://www.mobygames.com/game/6632/pilotwings/,"SNES, Wii, Wii U, New Nintendo 3DS, Nintendo Switch","Action, Simulation, Flight / aviation, Behind view, Vehicle simulator","Nintendo Co., Ltd.","Nintendo Co., Ltd."
4876,Final Fantasy V,1992-12-06,7.65,https://www.mobygames.com/game/4876/final-fantasy-v/,"PlayStation, SNES, PSP, PlayStation 3, Wii, PS Vita, Wii U","Real-time, Role-playing (RPG), Anime / Manga, Fantasy, Turn-based, Diagonal-down","Square Co., Ltd.","Square Enix Limited, Square Enix Co., Ltd., Sony Computer Entertainment America LLC, Square Co., Ltd."
6593,Ultimate Mortal Kombat 3,1995-10-06,7.32,https://www.mobygames.com/game/6593/ultimate-mortal-kombat-3/,"Game Boy Advance, SNES, Genesis, SEGA Saturn, Nintendo DS, Xbox 360, Arcade","Action, Side view, Fighting, 2D scrolling",Midway Manufacturing Company,"Tec Toy Indústria de Brinquedos S.A., Williams Entertainment, Inc., Midway Manufacturing Company, Midway Home Entertainment, Inc., Playtronic Industrial Ltda."
4287,Killer Instinct,1994-10,7.7,https://www.mobygames.com/game/4287/killer-instinct/,"Game Boy, SNES, Arcade, Nintendo Switch","Action, Sci-fi / futuristic, Side view, Fighting, Fantasy, 2D scrolling",Rare Limited,"Nintendo of America Inc., Nintendo Co., Ltd., Midway Manufacturing Company"
8085,Uniracers,1994-06-01,7.68,https://www.mobygames.com/game/8085/uniracers/,SNES,"Racing / Driving, Side view, 2D scrolling",DMA Design Limited,"Nintendo of America Inc., Nintendo Co., Ltd."
10905,Tales of Phantasia,1995-12-15,7.3,https://www.mobygames.com/game/10905/tales-of-phantasia/,"PlayStation, Game Boy Advance, SNES, PSP","Action, Top-down, Side view, Role-playing (RPG), Anime / Manga, Fantasy","Production I.G, Inc., Wolf Team, Namco Tales Studio Ltd., Namco Limited","Nintendo of America Inc., Namco Bandai Games Inc., Nintendo of Europe GmbH, Namco Limited"
9836,Final Fight,1990-12-21,7.64,https://www.mobygames.com/game/9836/final-fight/,"SNES, Wii, Browser, Wii U, New Nintendo 3DS","Action, Side view, Beat 'em up / brawler, 2D scrolling, Regional differences","Capcom Co., Ltd.","Capcom Co., Ltd."
7011,Illusion of Gaia,1993-11-27,7.71,https://www.mobygames.com/game/7011/illusion-of-gaia/,SNES,"Top-down, Role-playing (RPG), Fantasy, 2D scrolling, Action RPG, Regional differences","Quintet Co., Ltd.","Nintendo of America Inc., Nintendo Australia Pty., Ltd., Nintendo of Europe GmbH, Enix Corporation"
